web-scraper-order,web-scraper-start-url,nama,caption,ulasan,ulasan_preprocessed,label,sentiment,score;;;;;;
"1680415691-1,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,Meyrisca,Sejuk-Tenang,""Keadaan kota kecil ini tenang dg udara yg sejuk. Semakin kita mengunjungi tempat yg lebih tinggi semakin kita dapat menikmati pemandangan yg lebih indah. Ada danau, ada gunung, ada awan dengan jarak dekat, ada sunrise....."",""kota tenang dg udara yg sejuk . mengunjungi yg menikmati pemandangan yg indah . danau , gunung , awan jarak , sunris ....."",negative,""[{'label': 'negative', 'score': 0.9249656796455383}]"",0.9249656796455383";;;;;;
"1680415691-2,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,wikipedieng,Tempat indah untuk melihat pemandangan hijau,""terletak di Jawa Tengah, dataran tinggi Dieng menyuguhkan panorama alam yang indah. Danau warna warni, situs bersejarah, kawah yang melegenda hingga pendakian ke Bukit Sikunir untuk menikmati golden sunrise. Dieng plateau adalah tujuan favorit untuk tahun ini."",""terletak jawa , dataran dieng menyuguhkan panorama alam indah . danau warna warni , situ bersejarah , kawah melegenda pendakian bukit sikunir menikmati golden sunris . dieng plateau tujuan favorit ."",positive,""[{'label': 'positive', 'score': 0.9080202579498291}]"",0.9080202579498291";;;;;;
"1680415691-3,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,Danrltf,Lovely place,""2x ke dieng. Tempat yang luar biasa. Nice weather. Good athmosphere. Pengalaman yang luar biasa bisa explore dieng. Mulai di tahun 2019 ikut acara dieng culture festival. Naik gunung prau, telaga warna, batu ratapan angin. dll. ";;;;;;
"Bakalan rindu banget wisata ke dieng. Bikin candu."",""2x dieng . luar biasa . nice weather . good athmospher . pengalaman explor dieng . 2019 acara dieng cultur festiv . gunung prau , telaga warna , batu ratapan angin . dll . rindu banget wisata dieng . bikin candu ."",negative,""[{'label': 'negative', 'score': 0.8472505211830139}]"",0.8472505211830139";;;;;;
"1680415691-4,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,RentCarJakarta,Rekomendasi liburan disini,""Dieng...";;;;;;
Adalah dataran tinggi dan terkenal dengan negeri di atas awan;;;;;;
Karena kita bisa melihat awan berada di bawah kita ;;;;;;
Lokasi wisata di dieng ada beberapa lokasi: puncak sikunir, batu ratapan, telaga warna, kawah sikidang, candi arjuna dll;;;;;;
Biasanya rute yang saya tempuh sebelum subuh di mana cuaca dingin sampai ke tulang sudah mendaki puncak sikunir tujuannya melihat matahari terbit, setelah itu ke batu ratapan melihat telaga warna dari atas dan sebelumnya bisa lihat theater cerita dieng,;;;;;;
Selanjutnya bisa ke telga warna untuk lebih dekat atau ke kawah sikidang;;;;;;
 sore bisa main ke kawasan candi arjuna;;;;;;
;;;;;;
Jangan lupa kalo kesini nikmati kuliner mie ongklok, carica, tempe kemul, ;;;;;;
Soal harga jangan khawatir harga relatif murah gak merusak kantong ;;;;;;
Dan utamanya warga disini ramah ramah;;;;;;
Dieng buat saya ngangenin hampir tiap tahun saya selalu kesini;;;;;;
Oiya ada yg kelupaan;;;;;;
Setiap minggu pertama hari jumat,sabtu dan minggu selalu ada acara DIENG CULTURE FESTIVAL (DCF);;;;;;
Acaranya ritual pemotongan rambut gimba dan ada music jazz yang di sebut jazz atas awan;;;;;;
Gimana sensasinya menikmati musik yang slow dengan cuaca dingin?;;;;;;
Hmmmm datang aja y ke dieng;;;;;;
;;;;;;
Best Regards;;;;;;
"Kian RentaL MobiL (0811-9284-000)"",""dieng ... dataran terken negeri awan awan lokasi wisata dieng lokasi : puncak sikunir , batu ratapan , telaga warna , kawah sikidang , candi arjuna dll rute tempuh subuh cuaca dingin tulang mendaki puncak sikunir tujuannya matahari terbit , batu ratapan telaga warna lihat theater cerita dieng , telga warna kawah sikidang sore main kawasan candi arjuna lupa kalo kesini nikmati kulin mie ongklok , carica , temp kemul , harga khawatir harga relatif murah gak merusak kantong utamanya warga ramah ramah dieng ngangenin kesini oiya yg kelupaan minggu jumat , sabtu minggu acara dieng cultur festiv ( dcf ) acaranya ritual pemotongan rambut gimba music jazz jazz awan gimana sensasinya menikmati musik slow cuaca dingin ? hmmmm aja y dieng best regard kian rental mobil ( 0811-9284-000 )"",negative,""[{'label': 'negative', 'score': 0.7701975107192993}]"",0.7701975107192993";;;;;;
